Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
13636400,"The Bone Season (The Bone Season, #1)",Samantha Shannon,"Shannon, Samantha",,"=""1408836424""","=""9781408836422""",1,3.84,Bloomsbury Publishing,Hardcover,466,2013,2013,2013/10/20,2013/10/21,,,read,"This might be the worst book I've ever read, and I've read half of the first Twilight book. <br/><br/>The review is long and I ramble on due to my frustration. <br/>TL;DR : Harry potter had a threesome with Katniss Everdeen and that emo chick from Twilight. The result is just as horrific as you would expect.<br/><br/>I really really wanted to like this book. It starts of on the right foot, sort of. It's slow and a huge chunk of the book is focused on building this alternate reality. The world building part of the book is done well enough and almost gives you hope that there will be an act 2 worthy of all the time you just spent reading act 1. <br/><br/>That does not happen. What happens next is just plain stupid. There's no other way to express it. The way the first half of the book is structured, a lot of world building with very little in terms of character development, the expectation is that there will some sort of character development in act 2. That the author will make me like at least one of the 200 characters that have been introduced half way through the book. Nope. <br/><br/>I am just supposed to assume that Miss Paige, our heroine is a likable character and I must root for her. When all I want to do is stop her and ask if she's mentally insane for putting so many people that she apparently wants to protect in danger. I am also supposed to accept that the people that she continues to put in danger because she intentionally wants to be stupid all look up her to defend them. That they will convince her to participate in a plan and in the next five seconds ask her what they must do next. Seriously dude? five seconds ago this woman didn't know about your plan now she's the leader? WTF.<br/><br/>The dialogue is cringe worthy. Act 2 is all about different people convincing our heroine to be a part of their plan, while simultaneously handing her the reins to that very same plan. This is also the time when she falls in love with the man she is supposed to hate. Obviously he's not a vampire. He only drinks blood as a medicine. So he's totally not a vampire. Got that? So it's totally okay to fall in love with this guy. Also he's at least a thousand years old and probably dead. <br/><br/>The plot can be summarized as Harry Potter having a threesome with Katniss Everdeen and Bella Swan. The result is something that has the worst parts of the hunger games, all the parts of Twilight and none of the good parts of Harry Potter. <br/><br/>I can't believe that someone got a lot of money to write this, then someone got a lot of money to edit this, then someone made a truck load of money selling this to a filmmaker. Who will now spend hundreds of millions of dollars on making a movie out this that will make billions. It's all very very sad. None of that is as tragic as Samantha Shannon being compared to J.K. Rowling who even at her worst is magnitudes better than Miss Shannon at her best. ",,,1,0
1217100,Thirteen Reasons Why,Jay Asher,"Asher, Jay",,"=""1595141715""","=""9781595141712""",0,3.84,Razorbill,Hardcover,288,2007,2007,,2012/08/27,to-read,to-read (#23),to-read,,,,0,0
22628,The Perks of Being a Wallflower,Stephen Chbosky,"Chbosky, Stephen",,"=""""","=""""",4,4.24,MTV Books/Pocket Books,Hardcover,213,1999,1999,2012/08/26,2012/08/27,,,read,,,,1,0
2038265,Things I've Learned from Women Who've Dumped Me,Ben Karlin,"Karlin, Ben",,"=""0446580694""","=""9780446580694""",5,3.31,Grand Central Publishing,Hardcover,240,2008,2008,2012/08/27,2012/08/27,,,read,,,,1,0
11329125,2030: The Real Story of What Happens to America,Albert Brooks,"Brooks, Albert",,"=""""","=""""",0,3.49,St. Martin's Press,Kindle Edition,384,2011,2011,,2011/05/12,to-read,to-read (#18),to-read,,,,0,0
40090,Sacred Games,Vikram Chandra,"Chandra, Vikram",,"=""0061130354""","=""9780061130359""",0,3.93,HarperCollins,Hardcover,916,2006,2006,,2011/04/14,to-read,,to-read,,,,1,0
13078266,Man Made: A Stupid Quest for Masculinity,Joel Stein,"Stein, Joel",,"=""0446573124""","=""9780446573122""",5,3.75,Grand Central Publishing,Hardcover,304,2012,2012,2012/06/09,2012/05/19,,,read,,,,1,1
10572,"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,"Martin, George R.R.",,"=""""","=""""",5,4.42,Random House Worlds,Paperback,1009,2002,1998,2012/06/12,2012/04/08,,,read,,,,1,0
8908,World War Z: An Oral History of the Zombie War,Max Brooks,"Brooks, Max",,"=""0307346609""","=""9780307346605""",4,4.02,Crown,Hardcover,342,2006,2006,2012/05/31,2012/05/29,,,read,,,,1,0
285092,High Fidelity,Nick Hornby,"Hornby, Nick",,"=""1573225517""","=""9781573225519""",4,3.90,Riverhead Books,Paperback,323,1996,1995,2012/06/11,2012/06/11,,,read,,,,1,0
12781,The Satanic Verses,Salman Rushdie,"Rushdie, Salman",,"=""0312270828""","=""9780312270827""",0,3.71,Picador,Paperback,561,1997,1988,,2012/04/22,to-read,,to-read,,,,1,0
9279177,The Lover's Dictionary,David Levithan,"Levithan, David",,"=""0374193681""","=""9780374193683""",5,3.86,"Farrar, Straus and Giroux",Hardcover,211,2011,2011,,2012/04/08,,,read,,,,1,0
